recno,Field,RA1,RA2,DE1,DE2,m1,m2,mcen,Nfib,Ngal,f,Night,Frame,plate,_RA.icrs,_DE.icrs
1,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=1,00 08 28.66,00 15 43.22,-42 44 04.6,-41 15 28.8,16.19,17.49,18.34,50,37,0.31,1989-03-10,163,SSA007-600; 0000-42E,00 10 59.82,-42 27 23.0
2,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=2,00 01 25.73,00 08 28.66,-42 44 04.6,-41 15 28.8,16.19,17.49,18.34,50,40,0.35,1989-02-10,149,SSA010-200; 0000-42W,00 03 58.77,-42 27 22.2
3,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=3,00 33 03.82,00 41 21.14,-42 44 13.9,-41 14 42.7,14.93,17.63,18.78,112,81,0.88,1993-03-10,192,SSA064-200; 0015-42E,00 35 28.43,-42 27 42.6
4,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=4,00 23 41.14,00 33 03.82,-42 44 13.9,-41 14 42.7,14.93,17.63,18.78,112,107,0.85,1994-02-10,178,SSA063-200; 0015-42M,00 26 08.24,-42 27 37.3
5,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=5,00 15 43.22,00 23 41.14,-42 44 13.9,-41 14 42.7,14.93,17.63,18.78,112,105,0.56,1994-01-10,164,SSA062-200; 0015-42W,00 18 12.44,-42 27 34.1
6,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=6,00 28 14.21,00 35 10.54,-39 44 32.6,-38 28 18.5,16.12,17.42,18.27,50,39,0.35,1990-05-09,108,SSA007-300; 0020-39E,00 30 40.89,-39 27 58.4
7,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=7,00 21 12.12,00 28 14.21,-39 44 32.6,-38 28 18.5,16.12,17.42,18.27,50,36,0.46,1990-05-09,105,SSA007-200; 0020-39W,00 23 40.48,-39 27 54.9
8,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=8,00 29 09.60,00 37 12.00,-45 44 24.0,-44 15 36.0,16.21,17.51,18.36,50,38,0.83,1991-02-10,154,SSA016-200; 0020-45E,00 31 34.35,-45 27 50.3
9,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=9,00 22 36.00,00 29 09.60,-45 44 24.0,-44 15 36.0,16.21,17.51,18.36,50,36,0.92,1990-12-10,129,SSA014-600; 0020-45W,00 25 02.68,-45 27 46.9
10,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=10,00 52 42.79,01 01 13.30,-39 44 48.5,-38 15 53.3,15.03,17.73,18.88,112,93,0.83,1991-09-10,188,SSA031-200; 0034-39E,00 55 03.67,-39 28 33.6
11,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=11,00 43 51.72,00 52 42.79,-39 44 48.5,-38 15 53.3,15.03,17.73,18.88,112,97,0.86,1991-08-10,174,SSA030-200; 0034-39M,00 46 14.68,-39 28 25.3
12,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=12,00 35 10.54,00 43 51.72,-39 44 48.5,-38 15 53.3,15.03,17.73,18.88,112,107,0.74,1991-07-10,163,SSA029-200; 0034-39W,00 37 35.56,-39 28 18.6
13,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=13,00 53 26.40,01 00 52.80,-45 44 24.0,-44 15 00.0,14.84,17.54,18.84,112,68,0.85,1994-04-10,145,SSA077-300; 0035-45E,00 55 44.06,-45 28 09.8
14,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=14,00 45 04.80,00 53 26.40,-45 44 24.0,-44 15 00.0,14.84,17.54,18.84,112,74,0.71,1994-03-10,134,SSA076-300; 0035-45M,00 47 24.88,-45 28 01.8
15,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=15,00 37 12.00,00 45 04.80,-45 44 24.0,-44 15 00.0,14.84,17.54,18.84,112,81,0.66,1994-02-10,121,SSA075-300; 0035-45W,00 39 34.38,-45 27 55.5
16,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=16,00 48 29.50,00 55 46.30,-42 44 00.2,-41 15 06.8,16.22,17.52,18.37,50,49,0.72,1991-01-10,140,SSA015-500; 0040-42E,00 50 50.05,-42 27 41.1
17,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=17,00 41 21.14,00 48 29.50,-42 44 00.2,-41 15 06.8,16.22,17.52,18.37,50,47,0.64,1990-11-10,118,SSA015-200; 0040-42W,00 43 43.56,-42 27 34.9
18,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=18,01 12 58.32,01 21 29.71,-42 44 03.1,-41 27 16.2,15.01,17.81,18.91,112,91,0.9,1993-11-09,142,SSA044-300; 0054-42E,01 15 12.56,-42 28 12.5
19,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=19,01 04 26.52,01 12 58.32,-42 44 03.1,-41 27 16.2,15.01,17.81,18.91,112,103,0.87,1993-10-09,128,SSA043-300; 0054-42M,01 06 42.93,-42 28 01.3
20,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=20,00 55 46.30,01 04 26.52,-42 44 03.1,-41 27 16.2,15.01,17.81,18.91,112,99,0.93,1992-08-09,104,SSA042-300; 0054-42W,00 58 04.95,-42 27 51.4
21,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=21,01 08 21.22,01 15 09.70,-39 44 19.3,-38 15 19.8,16.08,17.38,18.23,50,39,0.45,1989-02-10,152,SSA010-300; 0100-39E,01 10 38.47,-39 28 22.5
22,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=22,01 01 13.30,01 08 21.22,-39 44 19.3,-38 15 19.8,16.08,17.38,18.23,50,42,0.64,1989-01-10,138,SSA009-300; 0100-39W,01 03 32.20,-39 28 13.7
23,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=23,01 09 16.80,01 17 45.60,-45 45 00.0,-44 16 12.0,15.09,17.79,19.14,112,109,0.65,1993-05-10,220,SSA066-200; 0100-45E,01 11 29.92,-45 29 04.4
24,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=24,01 00 52.80,01 09 16.80,-45 45 00.0,-44 16 12.0,15.09,17.79,19.14,112,87,0.89,1993-04-10,206,SSA065-200; 0100-45W,01 03 08.31,-45 28 53.9
25,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=25,01 32 27.38,01 41 11.40,-39 43 48.4,-38 15 16.2,14.99,17.69,18.94,112,89,0.85,1991-03-10,120,SSA025-300; 0114-39E,01 34 39.19,-39 28 28.3
26,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=26,01 23 51.65,01 32 27.38,-39 43 48.4,-38 15 16.2,14.99,17.69,18.94,112,97,0.64,1991-02-10,109,SSA023-500; 0114-39M,01 26 05.38,-39 28 14.0
27,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=27,01 15 09.70,01 23 51.65,-39 43 48.4,-38 15 16.2,14.99,17.69,18.94,112,103,0.5,1992-09-09,117,SSA024-300; 0114-39W,01 17 25.39,-39 28 00.9
28,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=28,01 33 38.40,01 42 04.80,-45 43 48.0,-44 15 00.0,14.94,17.64,18.94,112,99,0.79,1993-11-10,139,SSA060-300; 0115-45E,01 35 44.75,-45 28 29.8
29,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=29,01 24 09.60,01 33 38.40,-45 43 48.0,-44 15 00.0,14.94,17.64,18.94,112,103,0.59,1993-10-10,128,SSA058-500; 0115-45M,01 26 18.56,-45 28 14.0
30,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=30,01 17 45.60,01 24 09.60,-45 43 48.0,-44 15 00.0,14.94,17.64,18.94,112,82,0.54,1993-09-10,117,SSA059-300; 0115-45W,01 19 56.34,-45 28 04.2
31,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=31,01 28 38.81,01 35 46.56,-42 44 04.6,-41 15 17.3,16.16,17.46,18.31,50,47,0.55,1990-04-10,182,SSA016-600; 0120-42E,01 30 49.11,-42 28 37.9
32,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=32,01 21 29.71,01 28 38.81,-42 44 04.6,-41 15 17.3,16.16,17.46,18.31,50,47,0.63,1990-03-10,168,SSA017-200; 0120-42W,01 23 41.79,-42 28 26.5
33,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=33,01 52 54.14,02 01 22.44,-42 31 04.8,-41 14 52.1,14.99,17.79,18.89,112,69,0.93,1994-02-09,184,SSA047-300; 0134-42E,01 54 58.80,-42 16 23.6
34,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=34,01 44 20.52,01 52 54.14,-42 43 50.5,-41 14 52.1,14.99,17.79,18.89,112,87,0.91,1994-01-09,170,SSA046-300; 0134-42M,01 46 27.00,-42 28 52.1
35,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=35,01 35 46.56,01 44 20.52,-42 43 50.5,-41 14 52.1,14.99,17.79,18.89,112,107,0.62,1993-12-09,156,SSA045-300; 0134-42W,01 37 55.11,-42 28 36.2
36,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=36,01 48 47.62,01 55 09.72,-39 44 04.9,-38 15 14.0,16.14,17.44,18.29,50,26,0.63,1988-09-11,133,SSA002-2100 0140-39E,01 50 55.87,-39 29 15.4
37,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=37,01 41 11.40,01 48 47.62,-39 44 04.9,-38 15 14.0,16.14,17.44,18.29,50,24,1.0,1988-08-11,118,SSA002-1100 0140-39W,01 43 21.29,-39 29 00.6
38,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=38,01 49 02.40,01 55 48.00,-45 44 24.0,-44 15 36.0,16.17,17.47,18.32,50,35,0.66,1990-12-10,132,SSA014-700; 0140-45E,01 51 04.61,-45 29 34.8
39,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=39,01 42 04.80,01 49 02.40,-45 44 24.0,-44 15 36.0,16.17,17.47,18.32,50,35,0.57,1990-05-10,196,SSA017-600; 0140-45W,01 44 08.86,-45 29 21.2
40,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=40,02 12 43.75,02 21 02.59,-39 43 48.4,-38 15 14.8,14.92,17.62,18.77,112,86,0.89,1991-06-10,152,SSA028-300; 0154-39E,02 14 47.02,-39 29 51.8
41,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=41,02 03 53.90,02 12 43.75,-39 43 48.4,-38 15 14.8,14.92,17.62,18.77,112,75,0.92,1994-01-10,167,SSA062-300; 0155-39M,02 05 58.97,-39 29 31.2
42,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=42,01 55 09.72,02 03 53.90,-39 43 48.4,-38 15 14.8,14.92,17.62,18.77,112,88,0.62,1991-04-10,134,SSA026-300; 0154-39W,01 57 16.62,-39 29 12.0
43,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=43,02 13 55.20,02 22 40.80,-45 43 48.0,-44 15 00.0,14.94,17.64,18.94,112,105,0.78,1993-03-10,195,SSA064-300; 0155-45E,02 15 51.05,-45 29 54.1
44,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=44,02 04 07.20,02 13 55.20,-45 43 48.0,-44 15 00.0,14.94,17.64,18.94,112,104,0.68,1994-02-10,181,SSA063-300; 0155-45M,02 06 05.51,-45 29 31.1
45,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=45,01 55 48.00,02 04 07.20,-45 43 48.0,-44 15 00.0,14.94,17.64,18.94,112,103,0.75,1993-12-10,153,SSA061-300; 0155-45W,01 57 48.45,-45 29 12.9
46,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=46,02 08 48.19,02 16 29.81,-42 43 53.0,-41 15 40.7,16.33,17.63,18.58,50,41,0.55,1989-06-10,185,SSA010-500; 0200-42E,02 10 48.95,-42 29 47.0
47,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=47,02 01 40.13,02 08 48.19,-42 43 53.0,-41 15 40.7,16.33,17.63,18.58,50,40,0.39,1990-11-10,121,SSA015-300; 0200-42W,02 03 42.52,-42 29 30.7
48,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=48,02 32 58.78,02 41 20.26,-42 42 55.1,-41 14 12.5,15.0,17.8,18.9,112,73,0.56,1993-11-09,145,SSA044-400; 0214-42E,02 34 54.28,-42 29 50.3
49,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=49,02 24 20.42,02 32 58.78,-42 42 55.1,-41 14 12.5,15.0,17.8,18.9,112,90,0.84,1993-10-09,131,SSA043-400; 0214-42M,02 26 17.76,-42 29 27.4
50,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=50,02 18 20.95,02 24 20.42,-42 42 55.1,-41 14 12.5,15.0,17.8,18.9,112,58,0.71,1993-03-09,198,SSA048-300; 0214-42W,02 20 19.60,-42 29 12.2
51,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=51,02 28 13.27,02 35 11.62,-39 44 09.6,-38 15 05.8,16.15,17.45,18.3,50,47,0.83,1989-04-10,177,SSA008-600; 0220-39E,02 30 13.49,-39 30 52.2
52,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=52,02 21 02.59,02 28 13.27,-39 44 09.6,-38 15 05.8,16.15,17.45,18.3,50,43,0.88,1989-03-10,166,SSA007-700; 0220-39W,02 23 04.20,-39 30 33.6
53,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=53,02 29 07.20,02 35 48.00,-45 43 48.0,-44 15 00.0,16.06,17.36,18.21,50,32,0.81,1991-01-10,143,SSA015-600; 0220-45E,02 30 59.37,-45 30 32.8
54,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=54,02 22 40.80,02 29 07.20,-45 43 48.0,-44 15 00.0,16.06,17.36,18.21,50,35,0.61,1991-02-10,157,SSA016-300; 0220-45W,02 24 34.51,-45 30 16.0
55,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=55,02 52 49.39,03 01 10.68,-39 43 38.6,-38 15 13.3,14.86,17.56,18.71,112,101,0.82,1991-09-10,191,SSA031-300; 0234-39E,02 54 45.09,-39 31 30.7
56,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=56,02 43 52.44,02 52 49.39,-39 43 38.6,-38 15 13.3,14.86,17.56,18.71,112,78,0.81,1991-08-10,177,SSA030-300; 0234-39M,02 45 49.74,-39 31 04.4
57,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=57,02 35 11.62,02 43 52.44,-39 43 38.6,-38 15 13.3,14.86,17.56,18.71,112,99,0.88,1991-07-10,166,SSA029-300; 0234-39W,02 37 10.52,-39 30 40.0
58,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=58,02 53 45.60,03 02 40.80,-45 43 12.0,-44 14 24.0,14.89,17.59,18.89,112,83,0.84,1994-01-10,111,SSA074-400; 0235-45E,02 55 32.20,-45 31 06.7
59,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=59,02 44 04.80,02 53 45.60,-45 43 12.0,-44 14 24.0,14.89,17.59,18.89,112,107,0.78,1993-05-10,223,SSA066-300; 0235-45M,02 45 53.53,-45 30 38.2
60,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=60,02 35 48.00,02 44 04.80,-45 43 12.0,-44 14 24.0,14.89,17.59,18.89,112,107,0.82,1993-04-10,209,SSA065-300; 0235-45W,02 37 38.62,-45 30 14.9
61,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=61,02 48 35.23,02 55 46.03,-42 44 02.4,-41 15 03.2,16.23,17.53,18.48,50,42,0.48,1989-02-10,155,SSA010-400; 0240-42E,02 50 27.51,-42 31 41.8
62,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=62,02 41 20.26,02 48 35.23,-42 44 02.4,-41 15 03.2,16.23,17.53,18.48,50,39,0.28,1989-01-10,141,SSA009-400; 0240-42W,02 43 14.00,-42 31 20.9
63,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=63,03 13 08.71,03 21 22.25,-42 43 23.9,-41 14 48.8,15.09,17.89,18.99,112,106,0.37,1993-11-10,142,SSA060-400; 0254-42E,03 14 56.38,-42 32 19.7
64,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=64,03 04 05.11,03 13 08.71,-42 43 23.9,-41 14 48.8,15.09,17.89,18.99,112,102,0.73,1994-01-09,173,SSA046-400; 0254-42M,03 05 54.43,-42 31 50.6
65,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=65,02 55 46.03,03 04 05.11,-42 43 23.9,-41 14 48.8,15.09,17.89,18.99,112,110,0.79,1993-12-09,159,SSA045-400; 0254-42W,02 57 36.92,-42 31 24.8
66,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=66,03 08 16.39,03 15 09.34,-39 44 00.6,-38 15 28.1,16.02,17.32,18.27,50,40,0.39,1990-06-09,124,SSA008-300; 0300-39E,03 10 09.45,-39 32 40.8
67,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=67,03 01 10.68,03 08 16.39,-39 44 00.6,-38 15 28.1,16.02,17.32,18.27,50,36,0.31,1988-09-11,137,SSA002-3100 0300-39W,03 03 04.93,-39 32 18.3
68,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=68,03 09 19.20,03 17 19.20,-45 43 48.0,-44 15 36.0,16.08,17.38,18.23,50,48,0.21,1990-04-10,185,SSA016-700; 0300-45E,03 11 02.54,-45 32 31.3
69,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=69,03 02 40.80,03 09 19.20,-45 43 48.0,-44 15 36.0,16.08,17.38,18.23,50,41,0.66,1990-03-10,171,SSA017-300; 0300-45W,03 04 25.50,-45 32 10.1
70,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=70,03 32 42.67,03 41 10.85,-39 43 31.8,-38 15 06.1,15.02,17.72,18.87,112,107,0.44,1994-02-09,187,SSA047-400; 0314-39E,03 34 31.96,-39 33 34.1
71,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=71,03 23 57.19,03 32 42.67,-39 43 31.8,-38 15 06.1,15.02,17.72,18.87,112,108,0.57,1993-12-10,156,SSA061-400; 0314-39M,03 25 47.78,-39 33 03.8
72,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=72,03 15 09.34,03 23 57.19,-39 43 31.8,-38 15 06.1,15.02,17.72,18.87,112,105,0.61,1991-03-10,123,SSA025-400; 0314-39W,03 17 01.30,-39 32 34.4
73,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=73,03 33 40.80,03 42 38.40,-45 43 12.0,-44 15 00.0,14.89,17.59,18.89,112,101,0.77,1994-04-10,148,SSA077-400; 0315-45E,03 35 19.53,-45 33 17.4
74,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=74,03 28 41.09,03 35 44.62,-42 44 14.3,-41 15 04.3,16.26,17.56,18.41,50,43,0.51,1989-04-10,180,SSA008-700; 0320-42E,03 30 26.07,-42 34 02.4
75,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=75,03 21 22.25,03 28 41.09,-42 44 14.3,-41 15 04.3,16.26,17.56,18.41,50,34,0.51,1989-03-10,169,SSA007-800; 0320-42W,03 23 08.46,-42 33 37.4
76,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=76,03 52 59.26,04 01 28.42,-42 43 14.9,-41 27 20.9,14.95,17.65,18.8,112,96,0.88,1993-03-10,198,SSA064-400; 0335-42E,03 54 40.55,-42 34 30.4
77,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=77,03 43 40.32,03 52 59.26,-42 43 14.9,-41 27 20.9,14.95,17.65,18.8,112,93,0.91,1994-02-10,184,SSA063-400; 0335-42M,03 45 22.96,-42 33 56.2
78,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=78,03 35 44.62,03 43 40.32,-42 43 14.9,-41 27 20.9,14.95,17.65,18.8,112,76,0.88,1994-01-10,170,SSA062-400; 0335-42W,03 37 28.49,-42 33 27.8
79,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=79,03 48 17.93,03 55 11.62,-39 44 10.7,-38 15 16.9,16.18,17.48,18.33,50,40,0.46,1990-06-09,127,SSA008-400; 0340-39E,03 50 05.05,-39 35 09.0
80,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=80,03 41 10.85,03 48 17.93,-39 44 10.7,-38 15 16.9,16.18,17.48,18.33,50,46,0.62,1990-05-09,111,SSA007-400; 0340-39W,03 42 58.93,-39 34 43.1
81,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=81,03 49 02.40,03 55 45.60,-45 43 48.0,-44 15 36.0,16.05,17.35,18.3,50,34,0.43,1991-02-10,160,SSA016-400; 0340-45E,03 50 38.51,-45 34 48.7
82,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=82,03 42 38.40,03 49 02.40,-45 43 48.0,-44 15 36.0,16.05,17.35,18.3,50,36,0.49,1990-05-10,199,SSA017-700; 0340-45W,03 44 15.56,-45 34 25.4
